budget_type,city_abc,expense_category,division_board,consultants_name,x2019_expenditure
OPERATING,City Manager,Management/R&D,Chief Transformation Office,Slalom Consulting,7937
OPERATING,City Manager,Management/R&D,City Clerk's Office,Western Management Consultants of Ontario,130405
OPERATING,City Manager,Management/R&D,City Clerk's Office,MNP LLP,76814
OPERATING,City Manager,Management/R&D,City Clerk's Office,Procurity Group,13992
OPERATING,City Manager,Technical,Governance & Corporate Strategy,George Brown College,38036
OPERATING,City Manager,Management/R&D,People & Equity,Transformative Directions,5076
OPERATING,City Manager,Management/R&D,Strategic Communications,Edelman P.R. Worldwide Canada Inc.,130215
OPERATING,Community and Social Services,Management/R&D,Children's Services,Gladki Planning Associates Inc.,77442
OPERATING,Community and Social Services,Management/R&D,Children's Services,Calian Limited,76997
OPERATING,Community and Social Services,Technical,Children's Services,LGA Architectural Partners Limited,73752
OPERATING,Community and Social Services,Technical,Children's Services,"Salmon, Christina",64475
OPERATING,Community and Social Services,Technical,Children's Services,Barnes Management Group,32396
OPERATING,Community and Social Services,Technical,Children's Services,George Brown College,38036
OPERATING,Community and Social Services,Management/R&D,Court Services,MNP LLP,35616
OPERATING,Community and Social Services,Management/R&D,Court Services,Diabsolut Inc.,87277
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,HR Transformations Inc,3384
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,NGL Nordicity Group Ltd,33047
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,John Archer And Associates,186993
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Dragonfly Consulting Services Canada,16180
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,JC Williams Group Ltd,109451
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,"Granata, Paolo",2500
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,NGL Nordicity Group Ltd,46400
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,The Middle CC Group Inc,41518
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Diversio Inc,40704
OPERATING,Community and Social Services,Creative Communications,"Parks, Forestry & Recreation",Manifest Communications Inc.,30528
OPERATING,Community and Social Services,Creative Communications,"Parks, Forestry & Recreation",Pilot PMR,11170
OPERATING,Community and Social Services,Technical,"Parks, Forestry & Recreation",Watson & Associates Economists Ltd,91991
OPERATING,Community and Social Services,Technical,"Parks, Forestry & Recreation","Harper, Kathleen (Plastibuff)",488
OPERATING,Community and Social Services,Management/R&D,Seniors Services and Long-Term Care,York University,24191
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Beverly Wolfus Consulting,11397
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Canadian Observatory of Homelessness,46795
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Canadian Observatory of Homelessness,18375
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Canadian Observatory of Homelessness,4165
OPERATING,Community and Social Services,Management/R&D,"Shelter, Support & Housing Administration",Joy Connelly,23473
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Hildich Architect,139523
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",LOBO Consulting Services Inc,15976
OPERATING,Community and Social Services,Creative Communications,"Social Development, Finance & Administration",Centre for Independent Living in Toronto (CILT),24000
OPERATING,Community and Social Services,Management/R&D,"Social Development, Finance & Administration",GVK International Inc.,45792
OPERATING,Community and Social Services,Technical,"Social Development, Finance & Administration",Weinstein Taylor & Associates,3989
OPERATING,Community and Social Services,IT,Toronto Public Health,Laryssa Landale,773
OPERATING,Community and Social Services,Legal,Toronto Public Health,David L. Mowat,13738
OPERATING,Community and Social Services,Management/R&D,Toronto Public Health,Human Agency Incorp.,20539
OPERATING,Community and Social Services,Management/R&D,Toronto Public Health,Barnes Management Group,17704
OPERATING,Community and Social Services,Management/R&D,Toronto Public Health,MNP LLP,9158
OPERATING,Community and Social Services,Management/R&D,Toronto Public Health,Lough Barnes Consulting Group Inc.,58003
OPERATING,Community and Social Services,Management/R&D,Toronto Public Health,Optimus SBR Inc.,9260
OPERATING,Community and Social Services,Management/R&D,Toronto Public Health,SN Management Inc.,35616
OPERATING,Corporate Services,Legal,Corporate Real Estate Management,Davies Ward Phillips & Vineberg LLP,224632
OPERATING,Corporate Services,Management/R&D,Corporate Real Estate Management,Beauleigh Retail Consultants,38500
OPERATING,Corporate Services,Management/R&D,Corporate Real Estate Management,FM Insight Consulting Ltd.,55324
OPERATING,Corporate Services,Management/R&D,Corporate Real Estate Management,Phase 5 Consulting Group,2600
OPERATING,Corporate Services,Technical,Environment & Energy,VIP Energy Services Inc.,3816
OPERATING,Corporate Services,IT,Technology Services,KPMG LLP,254400
OPERATING,Corporate Services,IT,Technology Services,KPMG LLP,96672
OPERATING,Finance & Treasury Services,Management/R&D,Capital Markets,Aon Hewitt Inc.,117023
OPERATING,Finance & Treasury Services,Management/R&D,Controller,Regionomics,8243
OPERATING,Finance & Treasury Services,Management/R&D,Controller,KPMG LLP,89288
OPERATING,Finance & Treasury Services,Management/R&D,Controller,KPMG LLP,50829
OPERATING,Finance & Treasury Services,Technical,Controller,Hemson Consulting Ltd.,49165
OPERATING,Finance & Treasury Services,Technical,Controller,Hemson Consulting Ltd.,5739
OPERATING,Finance & Treasury Services,Management/R&D,Finance & Administration,Ernst & Young LLP,276762
OPERATING,Finance & Treasury Services,Management/R&D,Finance & Administration,Ernst & Young LLP,30528
OPERATING,Finance & Treasury Services,Management/R&D,Finance & Administration,Ernst & Young LLP,941280
OPERATING,Finance & Treasury Services,Legal,"Pension, Payroll & Employee Benefits","Osler, Hoskin & Harcourt, LLP",61667
OPERATING,Finance & Treasury Services,Management/R&D,Purchasing & Materials Management,Ernst & Young LLP,2669450
OPERATING,Infrastructure and Development,Technical,City Planning,Mass LBP Inc.,61488
OPERATING,Infrastructure and Development,Technical,City Planning,Dialog Ontario Inc.,3391
OPERATING,Infrastructure and Development,Technical,City Planning,Valcoustics Ltd.,3460
OPERATING,Infrastructure and Development,Technical,City Planning,Jade Acoustics Inc.,3189
OPERATING,Infrastructure and Development,Technical,City Planning,GHD Limited,2290
OPERATING,Infrastructure and Development,Technical,City Planning,Canadian Urban Institute,27220
OPERATING,Infrastructure and Development,Management/R&D,Engineering & Construction Services,The Corporation of the City of Windsor,2251
OPERATING,Infrastructure and Development,Technical,Engineering & Construction Services,"Osler, Hoskin & Harcourt, LLP",391362
OPERATING,Infrastructure and Development,Management/R&D,Municipal Licensing & Standards,Swerhun Inc.,21659
OPERATING,Infrastructure and Development,Management/R&D,Municipal Licensing & Standards,The Strategic Counsel,27984
OPERATING,Infrastructure and Development,Management/R&D,Municipal Licensing & Standards,Ipsos Limited,14653
OPERATING,Infrastructure and Development,Technical,Municipal Licensing & Standards,SS Wilson Associates Inc.,2758
OPERATING,Infrastructure and Development,Management/R&D,Solid Waste Management,Kelleher Environment,2480
OPERATING,Infrastructure and Development,Technical,Solid Waste Management,Mindful Experience Inc.,285
OPERATING,Infrastructure and Development,Management/R&D,Toronto Building,Splash Effect,4579
OPERATING,Infrastructure and Development,Management/R&D,Toronto Water,The Corporation of the City of Windsor,2251
OPERATING,Infrastructure and Development,Management/R&D,Transportation Services,PricewaterhouseCoopers LLP,432480
OPERATING,Infrastructure and Development,Technical,Transportation Services,HDR Corporation,152470
OPERATING,Agencies and Corporations,IT,Exhibition Place,Beanfield Technologies,42000
OPERATING,Agencies and Corporations,IT,Exhibition Place,Beanfield Technologies,42925
OPERATING,Agencies and Corporations,Management/R&D,Exhibition Place,Werthiem Consulting Inc.,3600
OPERATING,Agencies and Corporations,Management/R&D,Exhibition Place,Gordon Strategy,900
OPERATING,Agencies and Corporations,Management/R&D,Exhibition Place,Work Tango Inc.,12000
OPERATING,Agencies and Corporations,Technical,Exhibition Place,RWDI,17375
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Donais Mediations and Arbitratians Inc,2500
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Elana Milstein,13538
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Emerging Methods Inc,5000
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Field Day Inc,115951
OPERATING,Agencies and Corporations,Creative Communications,TO Live,HC Marketing LLC,15000
OPERATING,Agencies and Corporations,Creative Communications,TO Live,HC Marketing LLC,12000
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Karen Carter,45000
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Murray Paterson Marketing Group,10000
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Ontario Presents,3288
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Neal Rempel,8825
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Timea Wharton-Suri,12825
OPERATING,Agencies and Corporations,Creative Communications,TO Live,Timea Wharton-Suri,4425
OPERATING,Agencies and Corporations,IT,TO Live,Jobchart International Inc,41002
OPERATING,Agencies and Corporations,Legal,TO Live,"Farber Law, LLC",2715
OPERATING,Agencies and Corporations,Legal,TO Live,Hicks Morley Hamilton Stewart Storie,5244
OPERATING,Agencies and Corporations,Legal,TO Live,Hicks Morley Hamilton Stewart Storie,3995
OPERATING,Agencies and Corporations,Legal,TO Live,Levitt LLP,6566
OPERATING,Agencies and Corporations,Legal,TO Live,Miller Thomson LLP,9699
OPERATING,Agencies and Corporations,Technical,TO Live,ML Environmental Consulting Inc.,1850
OPERATING,Agencies and Corporations,Creative Communications,Toronto Community Housing Corporation,NAVEX Global,55910
OPERATING,Agencies and Corporations,Creative Communications,Toronto Community Housing Corporation,Navigator Limited,50000
OPERATING,Agencies and Corporations,Creative Communications,Toronto Community Housing Corporation,Navigator Limited,45301
OPERATING,Agencies and Corporations,IT,Toronto Community Housing Corporation,iSecurity Consulting Inc.,134000
OPERATING,Agencies and Corporations,IT,Toronto Community Housing Corporation,Froese Forensic Partners Ltd.,14706
OPERATING,Agencies and Corporations,IT,Toronto Community Housing Corporation,Infotech Research Group,3000
OPERATING,Agencies and Corporations,Management/R&D,Toronto Community Housing Corporation,KPMG LLP,6420
OPERATING,Agencies and Corporations,Management/R&D,Toronto Community Housing Corporation,Altus Group Limited,8268
OPERATING,Agencies and Corporations,Management/R&D,Toronto Community Housing Corporation,PricewaterhouseCoopers LLP,5500
