budget_type,city_abc,expense_category,division_board,consultants_name
OPERATING,Finance & Treasury Services,Legal (External Lawyers & Planners),"Pension, Payroll & Employee Benefits","Osler, Hoskin & Harcourt, LLP"
OPERATING,Finance & Treasury Services,Legal (External Lawyers & Planners),"Pension, Payroll & Employee Benefits",Dentons Canada LLP
OPERATING,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,Imex Systems Inc.
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,WSP Canada Inc.
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",MNP LLP
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd
OPERATING,Infrastructure and Development,Technical,City Planning,Mass LBP Inc.
OPERATING,Agencies and Corporations,Technical,Toronto Transit Commission,STV Canada Consulting Inc.
OPERATING,Agencies and Corporations,Management / Research & Development,Toronto Police Service,Mercer (Canada) Limited
OPERATING,Infrastructure and Development,Legal (External Lawyers & Planners),Transportation Services,Stikeman Elliott LLP
OPERATING,Corporate Services,Technical,Environment & Energy,Lura Consulting
OPERATING,Corporate Services,Management / Research & Development,Real Estate Services,Deloitte LLP
OPERATING,Community and Social Services,Technical,Children's Services,"Cleveland, Gordon"
OPERATING,Agencies and Corporations,Management / Research & Development,Toronto Police Service,Mercer (Canada) Limited
OPERATING,Community and Social Services,Technical,Economic Development & Culture,Hemson Consulting Ltd.
OPERATING,Infrastructure and Development,Technical,City Planning,RWDI
OPERATING,Infrastructure and Development,Technical,Engineering & Construction Services,RV Anderson Associates Ltd
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,MDB Insight Inc.
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Hemson Consulting Ltd.
OPERATING,Infrastructure and Development,Technical,Toronto Building,David P Amborski & Associates
OPERATING,Infrastructure and Development,Technical,City Planning,Scott Torrance Landscape Architects
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Beverly Wolfus Consulting
