budget_type,city_abc,expense_category,division_board,consultants_name,x2021_expenditure
OPERATING,City Manager,Technical,City Clerk's Office,Free & Fair,21187
OPERATING,City Manager,Technical,City Clerk's Office,Kevin Skoglund,19939
OPERATING,City Manager,Technical,City Clerk's Office,Ocad University,2976
OPERATING,City Manager,Management/R&D,Concept 2 Keys,KPMG LLP,86420
OPERATING,City Manager,Technical,Concept 2 Keys,KPMG LLP,185216
OPERATING,City Manager,Technical,Concept 2 Keys,Watson & Associates Economists Ltd,89646
OPERATING,City Manager,Management/R&D,Executive Administration,Mac Advisory Services,14806
OPERATING,City Manager,Management/R&D,Governance & Corporate Strategy,Fiona Crean,35565
OPERATING,City Manager,Management/R&D,Governance & Corporate Strategy,QuakeLab,25299
OPERATING,City Manager,Management/R&D,Governance & Corporate Strategy,Maytree Foundation,14550
OPERATING,City Manager,Management/R&D,Intergovernmental and Agency Relations,Canadian Urban Institute,100000
OPERATING,City Manager,Management/R&D,Intergovernmental and Agency Relations,"Watson Advisors, Inc.",91584
OPERATING,City Manager,Management/R&D,Intergovernmental and Agency Relations,"StrategyCorp, Inc.",65126
OPERATING,City Manager,IT,Office of the Chief Information Security Officer,KPMG LLP,1062340
OPERATING,City Manager,IT,Office of the Chief Information Security Officer,"Lares, LLC",11193
OPERATING,City Manager,Management/R&D,People & Equity,Korn Ferry,192597
OPERATING,City Manager,Management/R&D,People & Equity,Deloitte LLP,132288
OPERATING,Corporate Services,Legal (External Lawyers & Planners),Corporate Real Estate Management,Davies Ward Phillips & Vineberg LLP,330220
OPERATING,Corporate Services,Technical,Corporate Real Estate Management,Jensen Hughes Consulting,34446
OPERATING,Corporate Services,Technical,Environment & Energy,Morrison Hershfield,4115
OPERATING,Community and Social Services,Management/R&D,Children's Services,University of Toronto,11311
OPERATING,Community and Social Services,Creative Communications,Economic Development & Culture,Arts & Communications Counselors,50877
OPERATING,Community and Social Services,Creative Communications,Economic Development & Culture,Creative Process Inc,10176
OPERATING,Community and Social Services,Creative Communications,Economic Development & Culture,Frances Rawlings,10119
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Organisports Consultants Inc.,172132
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,John Archer and Associates,40769
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Brian Trust Marketing & Communications,38771
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,NGL Nordicity Group Ltd,36084
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,PricewaterhouseCoopers LLP,25440
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,NGL Nordicity Group Ltd,22316
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,JC Williams Group Ltd,18739
OPERATING,Community and Social Services,Management/R&D,Economic Development & Culture,Ginder Consulting,15264
