budget_type,city_abc,expense_category,division_board,consultants_name
OPERATING,City Manager,Management / Research & Development,Chief Transformation Office,Slalom Consulting
OPERATING,City Manager,Management / Research & Development,Chief Transformation Office,Slalom Consulting
OPERATING,City Manager,Creative Communications,City Clerk's Office,Mindful Experience Inc.
OPERATING,City Manager,Management / Research & Development,"Equity, Diversity and Human Rights",Nbisiing Consulting Inc
OPERATING,City Manager,Management / Research & Development,Strategic & Corporate Policy,Canadian Urban Institute
OPERATING,Community and Social Services,Technical,Children's Services,Deloitte LLP
OPERATING,Community and Social Services,Technical,Children's Services,Barnes Management Group
OPERATING,Community and Social Services,Technical,Children's Services,MNP LLP
OPERATING,Community and Social Services,Technical,Children's Services,"Salmon, Christina"
OPERATING,Community and Social Services,Technical,Children's Services,LGA Architectural Partners Limited
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,"Barker, Keith"
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,"Bolduc, Denise"
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Hemson Consulting Ltd.
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Hemson Consulting Ltd.
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Hemson Consulting Ltd.
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,HR Transformations Inc
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,John Archer And Associates
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Angela Loft
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Andre Morriseau
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,N. Barry Lyon Consultants Limited
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,N. Barry Lyon Consultants Limited
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,NGL Nordicity Group Ltd
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Shaftesbury Associates
OPERATING,Community and Social Services,Management / Research & Development,Economic Development & Culture,Kerry Swanson
OPERATING,Community and Social Services,Management / Research & Development,Long-Term Care Homes & Services,"Janes, Nadine"
OPERATING,Community and Social Services,Management / Research & Development,Long-Term Care Homes & Services,Faye Clack Communications Inc
OPERATING,Community and Social Services,Management / Research & Development,"Parks, Forestry & Recreation",KPMG LLP
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Strategic Retreats Inc.
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Canadian Urban Institute
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Joy Connelly
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Joy Connelly
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Straticom Planning Associates
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",Infrastructure Interior Associates Inc.
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",CHU Architects Inc.
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",VG The Ventin Group Architects
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",SHS Inc.
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",York University
OPERATING,Community and Social Services,Technical,"Shelter, Support & Housing Administration",DBA Bruce Davis Consulting
OPERATING,Community and Social Services,Management / Research & Development,"Shelter, Support & Housing Administration",Piaskowski Pat
OPERATING,Community and Social Services,Creative Communications,"Social Development, Finance & Administration",Family Service Toronto
OPERATING,Community and Social Services,Management / Research & Development,"Social Development, Finance & Administration","Daniel, Dr Beverly-Jean"
OPERATING,Community and Social Services,Management / Research & Development,"Social Development, Finance & Administration","Williams, Rudi Quammie"
OPERATING,Community and Social Services,Management / Research & Development,"Social Development, Finance & Administration",Blueprint Ade
OPERATING,Community and Social Services,Management / Research & Development,"Social Development, Finance & Administration",Yonge Street Mission
OPERATING,Community and Social Services,Management / Research & Development,"Social Development, Finance & Administration",Alzheimer Society Of Toronto
OPERATING,Corporate Services,Management / Research & Development,Facilities Management,Build Toronto Inc.
OPERATING,Corporate Services,Management / Research & Development,Facilities Management,Transition Path Inc.
OPERATING,Corporate Services,Information Technology,Information & Technology,KPMG LLP
OPERATING,Corporate Services,Legal (External Lawyers & Planners),Real Estate Services,DBA Bruce Davis Consulting
OPERATING,Finance & Treasury Services,Management / Research & Development,Corporate Finance,Aon Hewitt Inc.
OPERATING,Finance & Treasury Services,Management / Research & Development,Financial Planning,Ernst & Young LLP
OPERATING,Finance & Treasury Services,Legal (External Lawyers & Planners),"Pension, Payroll & Employee Benefits","Osler, Hoskin & Harcourt, LLP"
OPERATING,Finance & Treasury Services,Technical,"Pension, Payroll & Employee Benefits",Mercer (Canada) Limited
OPERATING,Finance & Treasury Services,Technical,Purchasing & Materials Management,Ernst & Young LLP
OPERATING,Infrastructure and Development,Technical,City Planning,Mass LBP Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,Mass LBP Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,Arcadis Canada Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,Dillon Consulting
OPERATING,Infrastructure and Development,Technical,City Planning,Jade Acoustics Inc.
OPERATING,Infrastructure and Development,Technical,City Planning,Downtown Yonge BIA
OPERATING,Infrastructure and Development,Technical,City Planning,Canadian Urban Institute
OPERATING,Infrastructure and Development,Technical,City Planning,Lura Consulting
OPERATING,Infrastructure and Development,Technical,City Planning,Dialog Ontario Inc.
